toxic,detox
"Син тагын бөтен нәрсәне каты боздың, бу ничек килеп чыга гел синдә?","Син тагын бөтен нәрсәне боздың, бу ничек гел синдә килеп чыга?"
"Нияз, син узендэ бетереп маймыл икэнсен....берэр аваз чыгаргач анлап белден ахры!!)))","Нияз, син узендэ бетереп маймыл икэнсен....берэр аваз чыгаргач анлап белдекирәкмиры!!)))"
"Карале, тагын нәрсәдер хуйнә сөйләп йөрисең, тыңлавы да авыр.","Карале, тагын нәрсәдер урынсыз сүз сөйләп йөрисең, тыңлавы да авыр."
Мондагы схема — тулы хуево эшләнгән.,Мондагы схема — тулы бик начар эшләнгән.
Бу таблица — еблан эшләгән кебек.,Бу таблица — бик аңлашылмыйча эшләнгән кебек.
"Тукта янгыр,тукта янгыр яума эле...заебал инде син!","Тукта янгыр,тукта янгыр яума эле...заярамый сүзал инде син!"
Бу чаттагы сүгенүләр — чистый пиздец.,Бу чаттагы сүгенүләр — чистый бик начар хәл.
Бу фикереңне бераз йомшаграк әйтергә кирәк иде.,Бу фикереңне йомшаграк әйтергә кирәк иде.
"Бүгенге планёрка — пиздец, бары тик кычкыру гына булды.","Бүгенге планёрка — бик начар, бары тик кычкыру гына булды."
дунгызлар анламасын диеп Татар телендэ языргамы?,ялгыш кешелар анламасын диеп Татар телендэ языргамы?
Комментарийларың кичә чистый хуйнә булды.,Комментарийларың кичә чистый урынсыз булды.
Бу актанышские курицынын админы пиздюк!,Бу актанышские курицынын админы ярамый сүзюк!
Пашол нахуй куттакбаш,Пашол кирәкмиартык тупас сүзакбаш
"Син бүген тикшерүне хуй итеп үткәрдең, фактлар юк.","Син бүген тикшерүне начар итеп үткәрдең, фактлар юк."
Бу карар — тулы хуйнә.,Бу карар — тулы урынсызлык.
"Мин сине чакырдым, син исә тагын хуенно җавап бирдең.","Мин сине чакырдым, син исә тагын бик начар җавап бирдең."
Әле бу формулировка — хуй дәрәҗәсендә.,Әле бу формулировка — начар дәрәҗәдә.
Бу документ — тулы хуй дәрәҗәсендә.,Бу документ — тулы начар дәрәҗәсендә.
куп кутак илэгинче минем урында йореп кара баштан мырапторасын бар да синен кебек ойдэ усырып ятмый!!!!,куп артык тупас сүзак илэгинче минем урында йореп кара баштан мырапторасын бар да синен кярамый сүзек ойдэ усырып ятмый!!!!
авызынны салып сегиииим. кайлардан жыелып беткэн халык буу. кутак калган мени боларга ☝,авызынны салып сегиииим. кайлардан жыелып беткэн халык буу. артык тупас сүзак калган мени боларга ☝
"Әнә теге кеше мине нервка утыртып бетерде, шайтан алгыры",Әнә теге кеше мине бик нык ярсыта
"Әйттем бит, болай ярамый, син барыбер үз көеңә барасың.","Әйттем бит, болай ярамый, син барыбер үз фикереңдә каласың."
Мондагы таблица — пиздец.,Мондагы таблица — бик начар.
Бүгенге план — еблан фикере кебек.,Бүгенге план — бик аңлашылмыйча фикер кебек.
"синен бук эшендэ юк анда,эчен пошмасын!)","синен эшэшендэ юк анда,эчен пошмасын!)"
"Син тагын борчып кердең, вакыт юк бит!","Син тагын килеп борчыдың, вакыт аз бит!"
Сон подъезда шушы ике аяклы хайван тычып йоридер.,Сон подъезда шушы ике аяклы хайван тычып йоридер.
Син еш кына кешенең сүзен өзеп куясың.,Син еш кына кеше сүзен бүләсең.
"Монда кемдер ахмакча карар кабул иткән, җен дә аңламас",Монда бик уйланмаган карар кабул иткәннәр
ну значит егетлэр узегез фахишэлэрне свиданиягэ чакырасыз))нормальный кыз янында йорегез!!,ну значит егетлэр узегез фахишэлэрне свиданиягэ чакырасыз))нормальный кыз янында йорегез!!
Синең бу дорфалыгың инде артык.,Синең бу кырыслыгың инде артык.
Бу ситуация — ебланнарча хәл ителгән.,Бу ситуация — бик аңлашылмыйча хәл ителгән.
"Бу почта хезмәте — блять, иң тиле хезмәт",Бу хезмәт бик уңайсыз һәм төзек эшләми
Кил пилмэненгне сегэм,Кил пилмэненгне сегэм
Син кешегә бик тупас итеп каршы төштең.,Син кешегә артык тупас каршы килдең.
Шул керэк белэн тегенен бэтэгенэ,Шул керэк белэн тегенен бэтэгенэ
"Коточкыч! агуланып кырыласыз бит, хэмер яратучылар!","Коточкыч! агуланып кырыласыз бит, хэмер яратучылар!"
Азат инде!что то ул cъебался моннан!,Азат инде!что то ул cъярамый сүзался моннан!
"ни хрена да булышмады синен счинакомын, тамак авырта белэт!:)","ни хрена да булышмады синен счинакомын, тамак авырта белэт!:)"
Болай кире җавап бирүең башлыкка ошамады.,Болай кырыс җавап бирүең башлыкка ошамады.
Бүген син тагын еблан кебек кыландың.,Бүген син тагын бик аңлашылмыйча кыландың.
Син тагын ебланча сорау бирдең.,Син тагын бик аңлашылмыйча сорау бирдең.
Мин чалбар эченнэн подштанник киям и эле алай да кутем ката! Шаккатам бу кызларга)),Мин чалбар эченнэн подштанник киям и эле алай да артык тупас сүзем ката! Шаккатам эшызларга))
Ник син һәрвакыт ызгыш чыгарырга әзер торасың?,Ник син һәрвакыт бәхәс чыгарырга әзер торасың?
Җавапларың кичә пиздец дәрәҗәсендә тупас иде.,Җавапларың кичә бик начар дәрәҗәдә тупас иде.
"Нэрсэ уйлыйсыгыз килэ шуны уйлагыз, дибиллар куп ул доньяда !","Нэрсэ уйлыйсыгыз килэ шуны уйлагыз, дибиллар куп ул доньяда !"
бер белмэгэн кеше бн сп да куя башласан индеее...)),бер белмэгэн кешярамый сүзн сп да куя башласан индеее...))
"Күтеңне серткәнче тыгып бутап алганнардыр , сертеп кенә кан чыкмый.","артык тупас сүзеңне серткәнче тыгып бутап алганнардыр , сертеп кенә кан чыкмый."
"бляяя, егетлэр алай булмый инде...жалко...булмады инде алманияга барып!!",блинегетлэр алай булмый инде...жалко...булмады инде алманияга барып!!
"Бу доклад хуй белән әзерләнгән, структурасы юк.","Бу доклад начар әзерләнгән, структурасы юк."
"Ул автоВАЗнын заводында эшлэгэн, машина жыючыларнын куллары кутеннэн ускэн э кузлэренэ кутак чыккан!","Ул автоВАЗнын заводында эшлэгэн, машина жыючыларнын куллары артык тупас сүзеннэн ускэн э кузлэренэ артык тупас сүзак чыккан!"
"Мин сине чакырдым, ә син тагын долбаёбча сөйләштең.","Мин сине чакырдым, ә син тагын бик аңлашылмыйча сөйләштең."
Кем болай ебланча текст язган?,Кем болай бик аңлашылмыйча текст язган?
"Мин бу тәкъдимне күргәч, пычрак идея дип уйладым","Бу тәкъдимне күргәч, идея бик уңышсыз дип уйладым"
"Доньяда сволоч кешелэр куп!!! оятсызлар. Алар белэн дэ шулай булса нишлэрлэр микэн алар, э??!!!!","Доньяда начар кешекешелэр куп!!! оятсызлар. Алар белэн дэ шулай булса нишлэрлэр микэн алар, э??!!!!"
Бүген синең тавышың тулы хуйнә иде.,Бүген синең тавышың тулы урынсызлык иде.
Нинди кочле мэхэббэт кешедэ. Фу таким быть!,Нинди кочле мэхэббэт кешедэ. Фу таким быть!
Син тагын ебланнарча карар кылгансың.,Син тагын бик аңлашылмыйча карар кылгансың.
"Хә ошанган ди , үзеңнең сәләмәтлегең өчедә хәер биргәнең юк , алкаш","Хә ошанган ди , үзеңнең сәләмәтлегең өчедә хәер биргәнең юк , алкаш"
Син нәрсә тагын ебланча сорау бирдең?,Син нәрсә тагын бик аңлашылмыйча сорау бирдең?
Таза кызларны сегергэ яратмыйм инде блээ фуэ!,Таза кызларны сегергэ яратмыйм индярамый сүзлинфуэ!
"Кара Эле теге пляш башны, имансыз","Кара Эле теге пляш башны, имансыз"
Синең бу усал карашың белән сөйләшүе кыен.,Синең бу кырыс карашың белән сөйләшүе авыр.
Син тагын пиздец элемент өстәгәнсең.,Син тагын бик начар элемент өстәгәнсең.
"Әнә теге җавап — тулы хуйнә, бер аргумент юк.","Әнә теге җавап — тулы урынсызлык, бер аргумент юк."
Дискуссияне син хуйнәгә әйләндерәсең һәрвакыт.,Дискуссияне син урынсыз хәлгә әйләндерәсең һәрвакыт.
"Эй, эй аноним, минем фотоларга бэйлэнмэ яме!узен син "" нэстэ""!!!","Эй, эй аноним, минем фотоларга бэйлэнмэ яме!узен син "" нэстэ""!!!"
"Бу ишекнең йозагы тагын катырып калган, блять","Ишек йозагы тагын катырып калган, төзәтергә кирәк"
"Заипали блин, нэрсэ булэк итим, нишлим диеп!","Заипали блин, нэрсэ булэк итим, нишлим диеп!"
"ахахах,тиле кебеклэр сез=))бер башлый суз эйтэ алмыйсыз!","ахахах,тиле кярамый сүзеклэр сез=))бер башлый суз эйтэ алмыйсыз!"
Бу эш тагын пиздец белән тәмамланды.,Бу эш тагын бик начар тәмамланды.
"Болай кешеләр белән кырыс булсаң, сине аңламаслар.","Болай кырыс булсаң, сине аңлаулары кыен булыр."
"Син бу логинны ялгыш язгансың, хуй белә ничек мондый хата ясагансың","Син бу логинны ялгыш язгансың, шуңа хата чыккан"
Нинди пидор коминтариясе бу?,Нинди пидор коминтариясярамый сүзу?
"Бу гел шулай булгач, синең белән тел табу авыр.","Бу гел шулай булгач, синең белән аңлашу авыр."
"Монда тагын кайнаган су идәнгә түгелгән, җенетем чыгып бетте","Монда кайнаган су түгелгән, идән пычранган"
Син бүген үзеңне ничектер еблан кебек тоттың жывой эфирда.,Син бүген үзеңне ничектер бик аңлашылмыйча тоттың җанлы эфирда.
Син кайчан кутак башыннан тошэр икэн дип котэм,Син кайчан артык тупас сүзак башыннан тошэр икэн дип котэм
ооо. супер мачо. ботен катынкызлар синеке инде блять,ооо. супер мачо. ботен катынкызлар синеке индярамый сүзлинь
"Тьфу тебя, гыйбрэт!Сина машинасы кирэкми, акчасы кирэк анын!","Тьфу тярамый сүзя, гыйбрэт!Сина машинасы кирэкми, акчасы кирэк анын!"
"Нигә син бу кадәр тиле фикер әйттең, хуй белә нәрсә уйладың","Син әйткән фикер бөтенләй уйланмаган, нәрсә уйладың икән"
"Мин бу хәбәрне ишеткәч, бөтенләй блять аптырадым","Хәбәрне ишеткәч, аптырап калдым"
"Мин бу җирдә тагын югалдым, хрень булса да, кеше кебек эшләми","Мин монда тагын югалдым, билгеләр юк, уңайсыз"
"тортеп курсэт эле мина кайда мин сина язма дип эйттем? пластинканны алмаштыр. Хоббиларымнын берсе дигэнсен, э хаман бер балык башы чэйнисен.)","тортеп курсэт эле мина кайда мин сина язма дип эйттем? пластинканны алмаштыр. Хоббиларымнын берсе дигэнсен, э хаман бер балык башы чэйнисен.)"
Бу әйткәннәрең бөтен коллективка авыр тиде.,Бу әйткәннәрең коллективка авыр тиде.
"сезгэ похуй тугелме мин нэрсэ,кемгэ язам.ошамый икэн укымагыз,коментлар язмагыз!!!!","сезгэ похуй тугелме мин нэрсэ,кемгэ язам.ошамый икэн укымагыз,коментлар язмагыз!!!!"
Путинны сайла идиот,Путинны сайла аңлап бетерми торган кеше
"Патриотизм? Хэх, мин татар, бэлки син урыстыр, урыс очен кут жыртып, патриот булып яши алмыйм, гафу...","Патриотизм? Хэх, мин татар, бэлки син урыстыр, урыс очен артык тупас сүзжыртып, патриот булып яши алмыйм, гафу..."
Синең бу сүзләрең кешеләрне ерагайта.,Синең бу сүзләрең кешеләрне читләштерә.
"Ә Татар илендә,татарга ничек кирәк икәнен сорамыйлар---ялагайлар!","Ә Татар илендә,татарга ничек кирәк икәнен сорамыйлар---ялагайлар!"
"Бу UI хуй кебек ясалган, логикасы өзелгән.","Бу UI бик начар ясалган, логикасы өзелгән."
"Син бу сүзне ник әйттең, ахмак, бөтен хәлне боздың бит инде","Син бу сүзне ник әйттең, ахмаклык итеп, хәлне тагын да катлауландырдың"
Син тагын кирәкмәгән бәхәс чыгардың.,Син тагын урынсыз бәхәс чыгардың.
"Нигә син телефонны өстәлдән бәреп төшердең, ахмак","Телефонны бәреп төшердең, саксызлык"
Син бу фикерең белән бары тик кешеләрне ярсытасың гына.,Син бу фикерең белән кешеләрне бераз борчыйсың.
"Син бу заказны вакытында тапшырмадың, блять","Син бу заказны вакытында тапшырмадың, соңардың"
Тэмле пильмэннэре тортлар белэн кутеннэн чыга,Тэмле пильмэннэре тортлар белэн артык тупас сүзеннэн чыга
Токсичное,Детокс
Дебил дыр син,Дярамый сүзил дыр син
"Кызлар! Жыен маржага ойлэнеп бетэсез бит, чын доресе бу! Аннары каян эзлэрбез саф чиста татар кызларын!....","Кызлар! Жыен чит кеше га ойлэнеп бетэсез бит, чын доресярамый сүзу! Аннары каян эзлэрбез саф чиста татар кызларын!...."
нацистлар алар зәңгәрләр кебек!шул эшләрен генә эшли беләләр!,нацистлар алар зәңгәрләр кярамый сүзек!шул эшләрен генә эшли беләләр!
"Син бу әйберне урынына куймагансың, җен аласын","Син әйберне урынына кайтmamгансың, тәртип сакланмаган"
Русалкаларныңда бләдләре бар.,Русалкаларныңда бләдләрярамый сүзар.
Элдэ нинди тилелэр бар инде Арчада!!!,Элдэ нинди тилелэр бар инде Арчада!!!
Бу карар тулы пиздец.,Бу карар тулы бик начар хәл.
Бу сүзләрең белән син бөтенләй чикне чыктын.,Бу сүзләрең белән син чикне узып җибәрдең.
"Пехота дип колдермэ, ул пехотаны беспилотнык бн бомбить итмичэ хуй сугыша сша","Пехота дип колдермэ, ул пехотаны беспилотнык бн бомбить итмичэ хуй сугыша сша"
"Бу хата — чистый ахмаклык, кем эшләгән моны",Бу хата — зур саксызлык
Дустым яңа китап укый башлады һәм аны бик ошатты,Дустым яңа китап укый башлады һәм аны бик ошатты
Твоё “объяснение” еблан дәрәҗәсендә калды.,Синең “аңлату” бик аңлашылмый дәрәҗәсендә калды.
"Монда кемдер бөтен фатирны дөп итеп пычраткан, җен аласын",Монда кемдер фатирны пычратып чыккан
Сине тыңлап утыру — еблан лекциясе кебек.,Сине тыңлап утыру — бик аңлашылмый лекция кебек.
"Син шундый тавыш белән сөйләшәсең, җенетем кузгалып бетте",Синең тавышың мине бик нык ярсыта
"Бу аш бөтенләй тозсыз, хрень генә пешергәнсең ахры",Бу аш бөтенләй уңышсыз пешерелгән
"Бу бурычның вакыты җитте, ә син һаман хуй белә нәрсә белән йөрисең","Бу бурычның вакыты җиткән, ә син һаман әзер түгел"
Бүген син бөтен системаны ебланча ваткансың.,Бүген син бөтен системаны бик аңлашылмыйча ваткансың.
"Фәхишәләргә күп акча кирәк , потенция белән проблемалар.","Фәхишәләргә күп акча кирәк , потенция белән проблемалар."
"Кара әле, син бүген ничә кешенең ачуын чыгардың инде!","Кара әле, син бүген күп кешеләрнең ачуын китердең!"
Мондагы документ — еблан язганы шикелле.,Мондагы документ — аңлашылмыйча язылган шикелле.
Бу фатирда кемдер тагын лампаны ватып чыккан,Фатирда кемдер лампаны тагын ваткан
Син тагын ебланча фраза кертеп калдыргансың.,Син тагын бик аңлашылмыйча фраза кертеп калдыргансың.
Мондый хуй аралашу белән эш бармый.,Мондый җавапсыз аралашу белән эш бармый.
Бу илнен климатысыда неправильно из пизды вышел,Бу илнен климатысыда неправильно из ярамый сүзы вышел
"Бу шәһәрдәге юллар — чистый хуй, йөреп булмый",Бу шәһәр юллары бик начар хәлдә
"Минем белэн бер булмэдэ яшэуче кыз улеп Земфираны ярата. Э мин аны курэалмыыыыыйм!!! фууууу. ничек компрамисс табарга сон, ээ??!","Минем белэн бер булмэдэ яшэуче кыз улеп Земфираны ярата. Э мин аны курэалмыыыыыйм!!! фууууу. ничек компрамисс табарга сон, ээ??!"
Бу проектның логикасы — чистый пиздец,Проектның логикасы бик начар хәлдә
"Подругаларынны жый да, яннарына кунакка барыгыз. 'СтрЫптиз заказывали?'дип","Подругаларынны жый да, яннарына кунакка барыгыз. 'СтрЫптиз заказывали?'дип"
Күпме кутакбашларны алдадың!,Күпме артык тупас сүзакбашларны алдадың!
"Бу шанслар белән безгә пиздец киләчәк, күренеп тора",Бу шартларда безнең хәлләр начар булачак
так-то син дэ шул ангыралар янына керэсен!,так-то син дэ шул ангыралар янына керэсен!
Кутагын юк чтоли бармак тыгып ятасын,артык тупас сүзагын юк чтоли бармак тыгып ятасын
безне шлюха кебек йорисез дигэн буласыз э узегез жыен бабник!!!менэ юри купме кыз бн йоргэнегезне чутлап карагаз хэм комментариягэ языгыз!!!,безне тәрбиясез кешеа кярамый сүзек йорисез дигэн буласыз э узегез жыен бабник!!!менэ юри купме кыз бн йоргэнегезне чутлап карагаз хэм комментариягэ языгыз!!!
Суббота шулай була ул блятский туйда ерсен,Суббота шулай була ул блинский туйда ерсен
"Син бу пакетка артык чүп тутыргансың, җенетем кузгала","Син бу пакетка артык чүп тутыргансың, тәртип юк"
"Монда ниндидер тиле килеп кергән, нәрсә за блять дип утыра ул анда","Монда бер тиле кеше кергән, нәрсә өчен утыра — аңлашылмый"
"Проблема имел блин, телефонные памяты тулган икэн кемнендер! Кара кайгы блин.","Проблема имел блин, телефонные памяты тулган икэн кемнендер! Кара кайгы блин."
"Бу эшне син болай эшләмәскә тиеш идең, чөнки зыян салдың.","Бу эшне син болай эшләмәскә тиеш идең, чөнки ялгышлык чыкты."
Синең бу фикерне әйтү рәвеше күпләргә ошамады.,Синең бу фикерне әйтү рәвеше күпләргә авыр тиде.
"чынлап яратмый ул сине, яратса китмэс иде аннан нинди эти кеше була алсын, хайван ул !","чынлап яратмый ул сине, яратса китмэс иде аннан нинди эти кешярамый сүзула алсын, хайван ул !"
кутагын бау бэйлэрлек булмаса ничек тагарга сон тросны ээ.,артык тупас сүзагын бау бэйлэрлек булмаса ничек тагарга сон тросны ээ.
Әле генә әйткән сүзләрең — тулы хрень.,Әле генә әйткән сүзләрең — тулы юк-бар.
"Мин бу җирдә тагын югалдым, блять, билге дә юк","Мин монда тагын югалдым, билгеләр юк, уңайсызлык тудыра"
Син тагын ебланнарча аңлатасың.,Син тагын бик аңлашылмыйча аңлатасың.
Бу кафе ризыгыннан соң хәзерем хрень булды,Бу кафе ризыгыннан соң хәлем яхшы булмады
Нигә син башкаларга шулай ебланча комментарийлар калдырасың?,Нигә син башкаларга шулай бик аңлашылмыйча комментарийлар калдырасың?
авызынны сегиим. мин бит сексэн киламитыр чабам икэн биит,авызынны сегиим. мин бит сексэн киламитыр чабам икэн биит
"Документларны карасаң — хуй белә кем төзегән, хаталар тулы",Документларны кем эшләгән — хаталар бик күп
Туалетка тычып су белэн юдырырга счётчик чутлый чтоли?,Туалетка тычып су белэн юдырырга счётчик чутлый чтоли?
авыл малайлары бля.авыл малайлары синен ишегэ эйлэнеп тэ карамый кутагым,авыл малайлары блинавыл малайлары синен ишегэ эйлэнеп тэ карамый артык тупас сүзагым
чып чын тиле пост !!!,чып чын тиле пост !!!
"Бу релиз — пиздец, бер баг та төзәтелмәгән.","Бу релиз — бик начар, бер баг та төзәтелмәгән."
Китапханәдә кирәкле материалларны табып алдым,Китапханәдә кирәкле материалларны табып алдым
"Машинаңның ишеге тагын шап итеп ябылмый, җен аласын","Машина ишеге тагын ябылмый, ремонт кирәк"
Пилэт тизрэк чыгып китэсе иде инде!!,Пилэт тизрэк чыгып китэсе иде инде!!
Кем шушы хуйнә документны тапшырган?,Кем шушы урынсыз документны тапшырган?
Син нинди вопрос язганынны кузен курэме ул?тупой вопрослар язып ятма,Син нинди вопрос язганынны кузен курэме ул?аңлап бетерми торганвопрослар язып ятма
"Монда тагын кемдер пычрак эзләр калдырган, җенетем кузгала",Монда тагын пычрак эзләр калдырганнар
"Андрей, урысларны бик яратасын карасам.....хатын маржа булган мэлле?!","Андрей, урысларны бик яратасын карасам.....хатын чит кешярамый сүзулган мэлле?!"
дорес эйтэсен!бары шлюхалар гына шулай эшли,дорес эйтэсен!бары тәрбиясез кешеалар гына шулай эшли
"Синең холкың шундый авыр, кеше түзә алмый дәрәҗәгә җитте инде!","Синең холкың бик авыр, кешеләргә кыенлык тудыра."
"Монда кемдер тагын обогревательне сүндергән, блять, салкын","Монда кемдер җылыткычны сүндергән, бинада салкын"
"Кичәге созвон — пиздец, бер конкрет решение юк.","Кичәге созвон — бик начар, бер конкрет решение юк."
"- Убырлы карчык дидем мин сиңа, ишетмисең дә мени?! Юньләп киенә белмисең, кеше арасында үзеңне тота белмисең, аралашмыйсың, җен карчыгы кебек бер почмакта утырасың! Менә шул!","- Убырлы карчык дидем мин сиңа, ишетмисең дә мени?! Юньләп киенә белмисең, кеше арасында үзеңне тота белмисең, аралашмыйсың, җен карчыгы кярамый сүзек бер почмакта утырасың! Менә шул!"
"Яратам кызларны, аларнын кутенэ кончать итергэ","Яратам кызларны, аларнын артык тупас сүзенэ кончать итергэ"
"Син мине шулай тыңламый башласаң, безгә проблема булачак","Син тыңламый башласаң, проблема чыгарачак"
"Кичәге җыелыш — просто пиздец иде, берни хәл итмәдек.","Кичәге җыелыш — просто бик начар иде, берни хәл итмәдек."
Блеать я честно в ахуе сижу тут...Алсу син авыртмыйсынма?,Блеать я честно в ахуе сижу тут...Алсу син авыртмыйсынма?
"Кичә син пиздец итеп аңлаттың, беркем аңламады.","Кичә син бик начар итеп аңлаттың, беркем аңламады."
"Нигә син әнә шулай ярсып, тавыш күтәреп сөйләшәсең?",Нигә син шулай ярсып тавыш күтәрәсең?
Эллэ кулын сегеп атканнармы бу мужикнын блят,Эллэ кулын сегеп атканнармы бу мужикнын блин
Син нәрсә шулай ебланча язасың?,Син нәрсә шулай бик аңлашылмыйча язасың?
"Берәрсен манчыйсы иде , ник бер хатын кыз күренсен , нинди булсада ярар.","Берәрсен манчыйсы иде , ник бер хатын кыз күренсен , нинди булсада ярар."
давай томала тизерэк ул тишек мишекне,давай томала тизерэк ул тишек мишекне
"Машина тагын сүнеп калды, блять, мин туйдым инде моңардан","Машина тагын сүнеп калды, уңайсыз хәл"
"Ну мин анлар идем, когда кеше булмаганда эйтсэлэр, дебилы!!!","Ну мин анлар идем, когда кешярамый сүзулмаганда эйтсэлэр, дярамый сүзилы!!!"
"Эйе, кубесе урыслаша! Женемне чыгара, татар белэн татарча сойлэшэсен, э ул сина маржача жавап бирэ!","Эйе, кубесе урыслаша! Женемне чыгара, татар белэн татарча сойлэшэсен, э ул сина чит кеше ча жавап бирэ!"
"Ике тишек , кемгә кайсы ошый.","Ике тишек , кемгә кайсы ошый."
Мондагы рәсем — пиздец дәрәҗәсендә ясалган.,Мондагы рәсем — бик начар дәрәҗәдә ясалган.
"Эй ктблар, сез Кайда, эллэ улеп беттегезме или еще айнымадыгыз , инэгезнен башмаклары блят","Эй ктблар, сез Кайда, эллэ улеп беттегезме или еще айнымадыгыз , инэгезнен башмаклары блин"
"Бу проектның башлангычы ук хуй, логика юк",Проектның башлангычы ук дөрес планланмаган
Бу диварның буяуы — хуй белә ничек сөртелгән,"Бу диварның буяуы дөрес сөртелмәгән, төзәтергә кирәк"
"Бу хәл минем нерв системасын шартлата, җен аласын",Бу хәл миңа бик зур киеренкелек бирә
Ал сабын хэм бау чыгып асылын сука!,Ал сабын хэм бау чыгып асылын явыз кеше
Бу аңлатма — хуево әзерләнгән.,Бу аңлатма — бик начар әзерләнгән.
Тыгасында Бер тапкыр майлысын Хэм тугыз Айдан сын Син чыгасын,Тыгасында Бер тапкыр майлысын Хэм тугыз Айдан сын Син чыгасын
Мин чынлап та сине хуй менеджментның үрнәге дип уйлыйм.,Мин чынлап та сине начар менеджментның үрнәге дип уйлыйм.
Купме ашарга була инде? Симереп чучка буласыз бит,Купме ашарга була инде? Симереп чучка буласыз бит
"Ой бик авыр баса курмэ, монда берэу пизданулся ничек тазарырга белми, монда да язган иде булышмады!","Ой бик авыр баса курмэ, монда берэу ярамый сүзанулся ничек тазарырга белми, монда да язган идярамый сүзулышмады!"
"Тестларың хуй кебек корылган, кейслар җитми.","Тестларың бик начар корылган, кейслар җитми."
"Син бу файлны кая куйдың, пиздец, табып булмый","Син бу файлны кая куйганыңны хәтерләмисең, табып булмый"
"Әйттем бит сиңа мең тапкыр, тыңламыйсың инде бер дә!","Әйттем бит сиңа күп тапкыр, әмма син тыңламыйсың!"
"Син бу кукине ник яндырдың, ахмак","Син бу кукине ник яндырдың, сак булырга кирәк иде"
"Бу шкафның ишеге тагын төшеп төшкән, шайтан кебек","Шкаф ишеге тагын төшкән, ремонт кирәк"
вот ппц вы...мин лучше знаю спорить итеп утырмагыз эле!!! Эйтеп торам бит мин гел кайтам мослимгэ и яттан белэм ботен юлларны!!!,вот ппц вы...мин лучше знаю спорить итеп утырмагыз эле!!! Эйтеп торам бит мин гел кайтам мослимгэ и яттан белэм ботен юлларны!!!
"Нигә син тагын соңга калдың, блять, бу бит инде унбишенче тапкыр",Нигә син тагын соңга калдың — инде ничә тапкыр
Синең мемнар — еблан юмор дәрәҗәсендә.,Синең мемнар — бик аңлашылмый юмор дәрәҗәсендә.
"Син бу документны ничек шулай начар тутырдың, блять","Документ бик начар тутырылган, төзәтергә кирәк"
"Шул кирэк сезгэ,кутак сыныклары","Шул кирэк сезгэ,артык тупас сүзак сыныклары"
Твитларың еблан контент кебек күренә.,Твитларың бик аңлашылмый контент кебек күренә.
"Карале, бу план — тулы хуй.","Карале, бу план — тулы начарлык."
Синең сүзләрең кеше күңелен кыра торган.,Синең сүзләрең кеше күңелен авыр итә.
"Доклад шундый еблан телендә язылган, укый алмыйм.","Доклад шундый бик аңлашылмый телдә язылган, укый алмыйм."
"Бу фикерне тыңлагач, пиздец инде, башка вариант юктыр дип уйлыйсың.","Бу фикерне тыңлагач, бик начар инде, башка вариант юктыр дип уйлыйсың."
"Син бу бүлемне бөтенләй дөрес тутырмагансың, пиздец","Бу бүлем дөрес тутырылмаган, яңадан эшләргә кирәк"
"Монда җил шулай өрә ки, җен кебек котыра","Җил бик көчле исә, тавышы борчый"
Бу план — пиздец кебек эшләнгән.,Бу план — бик начар эшләнгән.
"Кичә син чын ебланча шаярттың, беркем көлмәде.","Кичә син чын бик аңлашылмыйча шаярттың, беркем көлмәде."
Син тагын бөтен нәрсәне чуалтып бетердең.,Син тагын бөтен нәрсәне бутап бетердең.
"Нигә сез үз-үзегез белән аралашасыз, сез ебанутый мы?","Нигә сез үз-үзегез белән аралашасыз, сез ярамый сүзанутый мы?"
Бу тасклар хуйнә тәртиптә урнаштырылган.,Бу тасклар урынсыз тәртиптә урнаштырылган.
Сезнен ни эшегез бар инде анда? Чишенгэнме юкмы анын эше... эй богу как эбилэр сез,Сезнен ни эшегез бар инде анда? Чишенгэнме юкмы анын эше... эй богу как эбилэр сез
"Мин бу эшне карамы да эшли алмыйм, нәрсә за блять килеп чыкты соң","Мин бу эшне бөтенләй эшли алмыйм, нәрсә за проблема килеп чыкты соң"
"Бу балык бөтенләй тозсыз, хрень пешергәнсең",Бу балык бөтенләй уңышсыз пешерелгән
башта бер эйбер яза башлагансын бетергэнсен башка эйбер бн вот синен баш киткэн тучныы))),башта бер эйбер яза башлагансын бетергэнсен башка эйбер бн вот синен баш киткэн тучныы)))
Бу сүзләреңне әйтмәсәң дә була иде.,Бу сүзләреңне әйтмәсәң яхшырак була иде.
"Сөрт борныңны, егет, элгәре!”","Сөрт борныңны, егет, элгәре!”"
"Бу документтагы хаталар саны — блять, күзгә сыймый",Документтагы хаталар саны күзгә дә сыймый
Син нәрсә тагын хуй әйтеп ташладың?,Син нәрсә тагын начар әйтеп ташладың?
"Бу планның нигезе хуй кебек селкенеп тора, тотрык юк",Бу планның нигезе тотрыксыз
"Татар егетләре була торып,оялмыйча урысча язалар,кара инде син моны!!!кит индеее","Татар егетләрярамый сүзула торып,оялмыйча урысча язалар,кара инде син моны!!!кит индеее"
Шулай экран артында гомеребез үтеп китә инде.. шунысы әйбәт - тиле вәзиребез юк)),Шулай экран артында гомерярамый сүзез үтеп китә инде.. шунысы әйбәт - тиле вәзирярамый сүзез юк))
Бу юлы син кешене бик нык рәнҗеттең.,",Бу юлы син кешегә бик авыр сүз әйттең."""
"Икенче кызларга бэйлэнеп, аларны сугеп ятасыз.","Икенче кызларга бэйлэнеп, аларны сугеп ятасыз."
